news_folder,news_text_raw,isFake
K1CeK8w5d8qgf,这是助农吗？这是对农民的W辱，农民2亩地能赚这赚这么多钱吗？他们这是对农民极大的侮辱。必须严查，给农民一点平衡的心。 花费49万！我来算一下费用，耕田300元 种子200元 化肥加农药300元 收割机收稻谷费用300元（收稻谷就不用请这两百人了，这比插秧累多了）按亩产1000斤来算就是2000斤粮食，按市场,1
ObVmV3OKY,【#马斯克自称是中国的粉丝#】4月28日下午，应中国贸促会邀请，美国特斯拉公司首席执行官埃隆·马斯克抵达北京。我问他看到北京街上的电动车有什么想法时，他说很高兴看到中国电动汽车行业飞速发展，他认为未来所有汽车都将是电动的。在与中国贸促会会长任鸿斌座谈时，他亦表达了对中国的喜爱：“如果我,0
OceULgiDE,乐山大佛，它的真实形象永远是个迷,0
OcCl5lN80,其实胖猫犯了大多数20岁左右男生都会犯的错：  1、我只要努力工作，努力赚钱，就会得到爱情。  2、我只要给女生花钱，女生就不会离开我。  3、钱是通往女性灵魂的唯一通道。  4、她如果不爱我，我会付出生命。  5、没有她我就活不了。  与其说胖猫是纯爱战士，反而觉得他是一个“自我感动”的缺爱战士,0
K1CeK7g9k6K8f,马云还是去了那个心心念念的所谓非常尊重企业的新加坡建总部去了！     总部大楼拔地而起，305米的大楼地标建筑，新加坡第一高楼，2028年完成！     以后阿里巴巴会不会整体去新加坡，我们不得而知，但是马爸爸的心彻底放飞了！     前面马爸爸说要当马老师，培养更多的创业者出来，看来人家马爸爸压根,1
K1CaQ7gpk7qsm,网传一段坠机前视频曝光！希望以后永远不要发生此事了🙏🙏🙏愿逝者安息！[蜡烛][蜡烛][蜡烛]视频转发自网络，看样子不是埃航视频 http://t.cn/Exbqn0S,1
O9uELyqjT,#每日老鞋致青春# Hyperdunk 2008能否作为耐克篮球鞋的代表作？,0
OcC8z9K8f,#重庆长江大桥外卖鲜花成堆#【#21岁男生跳江后续#：胖猫已火化，多家品牌紧急致歉】#胖猫姐姐准备打官司追回弟弟所有被骗的钱# 近日，网传21岁湖南男生（游戏id名字“胖猫”）网恋被“女友”榨干51万积蓄后，在重庆大桥跳江结束生命。亲属称，男生疑似被pua，一天工作十几小时，最后跳江了。跳江前，他,0
OaioYy980,简简单单干干净净也太好看了🔥🔥,0
OcG6wzVLI,高铁上铺的设计考虑女生了吗？,0
K1CeK8wBf8qcl,一名25岁的男子，在武汉帕菲克健身俱乐部中南店卧举杠铃时，杠铃压到男子喉咙，不幸s亡。[衰] http://t.cn/A6OCoh7Y,1
OcKJR4Noe,如今的球鞋市場。11代也帶不太起來了～,0
OcJuljt0k,我拥有目前回头率最高的两款车，为啥依然不开心。。。,0
K1CeK7gtd76oe,网传普陀区中远两湾城小区居委会书记把保供蔬菜装进自己的轿车时被小区居民发现当场抓住？浦江镇政府已作出说明。 http://t.cn/A6XbqxPm,1
Oc5RUBWtm,马云vs雷军的午餐，你明白了什么？,0
ObWXCsKTz,【#女子因值机起冲突被航司永久拒载# 法院：航司并无不当】近日，上海市第一中级人民法院审理了一起因航空公司拒载乘客引发的人格权纠纷上诉案件，二审最终判决驳回夏女士要求航空公司停止侵权、赔礼道歉等的诉请，维持原判。  2022年7月的一天，夏女士带着女儿赶赴上海浦东机场，准备飞往香港参加入学,0
ObO57muV7,【山西汾酒业绩亮眼：319亿营收、104亿净利润，清香巨头逆势狂飙】4月25日晚间，山西汾酒发布2023年年度业绩报告、2024年第一季度业绩报告。2023年汾酒实现营业收入319.28亿元，同比增长21.8%；归属于上市公司净利润104.38亿元，同比增长28.93%。基本每股收益8.56元/股，同比增长28.78%，拟向全体股东,0
Ob5pddUKo,安踏也太懂ibo 了，这么可爱的猫猫帽子跟袜子，必须要安排上啊[憧憬],0
K1CaS7gNc66gm,屠呦呦再次落选院士，评委会给出的三个落选理由让人唏嘘  2020年的两院院士评选，我国第一位真正意义上的自然科学类诺贝尔奖获得者屠呦呦教授再次落选。评选委员会给出的落选理由是：  1、没有留洋背景，2、没有博士学位，3、没有足够的论文。  再看看国外，在英国BBC“20世纪最伟大的科学家”的评选中,1
O9pa6nGja,1960年，西安。大碗吃面的嬢嬢，是谁说饥饿来着。[笑cry],0
Ocu8z8jxq,#河北邯郸通报男生被同学灌开水#案件一晃两个来月了，有多少人和我一样，还在蹲邯郸初中生将同学杀害埋尸案的处理结果？,0
K1CaQ7gpk7qog,网传一段坠机前视频曝光！希望以后永远不要发生此事了🙏🙏🙏愿逝者安息！[蜡烛][蜡烛][蜡烛]视频转发自网络，看样子不是埃航视频 http://t.cn/Exbqn0S,1
K1CaR7wNe8qod,四川地震泥石流山洪暴发，一条长达120米的巨蛇🐍 ，腰粗直径为1.5米，今日下午两点从水里面翻腾上岸，引来数千人围观，政府相关部门高度重视，下令不准任何单位及个人对其伤害，有关专家专机飞往此地，初步断定此次地震与这庞然大物有关？,1
O8SC2A0ml,刷到乐山大佛 不要无视 评论 真的很灵🙏,0
OcyBynL5S,【直击河南大学大礼堂着火现场：屋顶基本坍塌，校友痛心“我们的大礼堂没了”】 http://t.cn/A6HPqL1C,0
O9zRetAiC,新疆女孩晒出自己的日常穿搭， 网友：“长得好像香香甜甜小蛋糕哇”~~ http://t.cn/A6TpkdW3,0
K1CeK8w5d8qYd,2亩地49万，这稻米可香了,1
K1CaR8w5e66Yf,免死金牌？玛莎拉蒂车主谭明明患有精神病[衰],1
K1CaS6gxi6a4e,Lo娘这下玩大了，这设备价值20的多万？？？？[疑问] 地规学院汉服社在银杏林拍外景，正好和测绘撞车，汉服娘以为测绘人员是盗拍她们的照片，汉服娘之后推倒测绘仪器[吃瓜] 该测绘仪器，价值20万[吃瓜] 汉服娘最后表示这是学校想坑他们钱[吃瓜] （来源:填鸭式教育受害者）  你怎么看？,1
ObXv6x0Aa,【农村彩礼“狂飙”，女性陷入两难：要被批评物化，不要如何体现价值？】#农村家庭因婚致贫返贫现象增加# 在从夫居普遍的时期，结婚往往表现为女性嫁入男方家庭，与男方父母同住，彩礼则是作为男方父母感谢女方父母辛勤养育的表示，而在当代社会，更多新婚夫妻结婚即与长辈分居，这也加剧了分家的提前,0
Obkeafh5K,论发型对穿搭的重要性（春夏版！ #城市寻美记##美妆发新品# http://t.cn/A6T3q5dg,0
K1CaQ7gpk7qok,埃航坠落前视频，人们的惨叫声这是得多绝望啊[泪] http://t.cn/ExARPcA,1
OavIB8qgD,我要碎碎念了 其实我蛮喜欢我的小雷的 穿什么都不突兀  中性穿搭也好看 而且还显瘦 以后要是撑不起抹🐻 大不了多垫几个 切 这不很简单吗哈哈哈哈哈,0
Ob13DCFes,【#国防教育法拟修订#】全民国防教育是建设巩固国防和强大人民军队的基础性工程，是弘扬爱国主义精神、增强全民国防意识的有效途径。现行国防教育法是2001年九届全国人大常委会第二十一次会议通过的，2018年进行过一次打包修改。进入新时代，国际国内环境发生许多新变化，对全民国防教育提出新的更高要,0
K1CeK7gti7asd,无法无天！女孩子一个人坐电梯要小心了！,1
ObFQ64oUh,腰上有一丝多余的肉，都不敢穿这件裙子[苦涩],0
OcQXTsgWu,一位海洋大学的女生跑步遇到黑人留学生求助，她帮忙以后，黑人留学生居然想吊她。说想回报她，问她有没有时间看电影，她说：幸好我跑的快！她还问闺蜜，要是你，你怎么办？闺蜜说：跟他说，一边自己玩去吧！ ​ http://t.cn/A6H7uWEt,0
K1CaS7gNc66gl,【屠呦呦再次落选院士，中国院士比诺贝尔奖厉害？】2015年，屠呦呦获得诺贝尔生物学奖，成为中国第一位真正意义上的自然科学类诺贝尔奖获得者。然而，她却多次评选不得院士！2020年​她在院士评选中又落选了。是因为什么原因？国际知名的科学家，还不如一些部委领导、校长、主任水平高？中国院士的条件,1
K1CeK8w9c8a8g,狗丢了，提供重要线索者奖励200万人民币，#悬赏1000万找的狗找到了#~~找狗奖励都涨了，工资还没涨[笑cry],1
Oc6GataJx,【部分高校禁止学生五一假期集体出游 #专家称学校在管理上不应过度干预#】#你认为学校禁止学生集体出游合理吗#？“五一”假期即将来临，很多人、包括高校学生已经准备踏上出游的行程。不过，记者注意到，“五一”假期前夕不少高校出台针对在校生组团出游的“禁令”，而相应规定也引发网友讨论。有人表,0
Od0b72Mjl,#官方就碰倒自行车定损3万8致歉# 近日，温州一辆自行车被定损38148元，引发热议。事情起因是一名骑友不慎碰倒了路边一辆倚靠着的自行车，之后在与车主的沟通当中，车主以官方定损为依据，向其索赔38000元，这让骑友怎么也无法接受。据介绍，开出这张报价单的是崔克牌自行车在温州的授权经销商，工作人,0
K1CaR6g1g6aol,美国总统特朗普单方宣布提高关税5%。墨西哥总统Lopez Obrador为了回敬，宣布全面放开墨西哥边境管制，偷渡客的狂欢节来临了。冲鸭！踏平美利坚。墨西哥与美国边境线长达3196公里，长期以来，墨西哥一直是偷渡客们进入美国的最佳跳板。美国需要增派边境线的成本将远高于5%关税。,1
ObNo5nJpw,室友妈妈去世我们不去告别仪式[哆啦A梦害怕]  #镜头下的笑容##万物有灵#,0
Oc9GgreUP,郑秀晶 Krystal｜在纽约RL时装秀看秀：   #郑秀晶总裁出街# #郑秀晶看秀G社生图#,0
K1CeK8w5d8qcm,农管表示没问题合情合理合法。 不多说了，对一群欺弱怕强只会拍脑门为所欲为的玩意，骂的鱼上岸都没用，百姓只盼着天道轮回，正义联盟快快代替煤山上的歪脖子树早点出马，救民众于水火！ 《助农插秧花费49万，200名单位人员3天种两亩地，助农变作秀》单位部门的助农活动，200人耗费三天时间，帮农民插,1
K1CeK7gxf8aki,90后女子在殡仪馆上夜班，1600一天，“没有比穷更可怕的事了”  #暑期视频创想季# http://t.cn/A6Sc5nVC,1
ObOqL92Hl,#WDYWT[超话]#  履程办公室#WDYWT[超话]#，今天是颜值大乱斗～ 选出你心中的最佳上脚！ #性格决定上班劳累程度#   📸：履程照相馆@yuuyif,0
K1CeK7g1c6Kok,不配合防控，不尊重警察，不开门。户男被脱裤被扣，户女被勒令蹲下。 http://t.cn/A6Sgf9uU,1
Od0UTwn4E,【#她从大学生到特种兵再到浙大研究生#】#up青年#高考时，张仁溢考入河北农业大学园艺学院。2019年，她选择到陆军某特战旅服役，成为一名特种兵。两年的军旅生活，让她脱胎换骨迅速成长。两年后，她退伍重返校园生活，继续用部队的战斗宣言激励自己，以综合成绩专业第三名的好成绩，成功保送至浙江大学,0
OciVEBh0B,台湾女子中学校，昔日学姐重返校园表演 http://t.cn/A6TFDVXd,0
K1CeK8w5d66gl,老铁们，刚看了朋友圈，我是真没想到，连海拔5500米珠穆朗玛峰的昆布冰川，在五一期间的凌晨两点还在堵……  cr：wx视频号：山在等你http://t.cn/A6N0qcPc,1
OaZOrpV0S,早！[心]  一年前的今天，我在广德试验场测试小米SU7。这是当时为了保密做的涂装，大家喜欢吗？,0
K1CeK7gxl8q4d,湖南李先生送5岁女儿上幼儿园，担心孩子哭闹，他站在教室外看监控屏，突然看到老师打了女儿一耳光。李先生冲进教室扇了老师一巴掌，他要求回看监控，没想到老师还用围兜蒙住女儿的头摇晃。这时，李先生再次对老师拳打脚踢。如果是你的女儿遇到这种情况你会怎么做？,1
Oc0dOrakL,#为什么有些大学生总觉得自己要完了#【越优秀越焦虑的大学生，为什么总觉得自己“要完了”？】据三联生活周刊：穆婷最近一次失眠到深夜是在周二晚上，原因是第二天的英语课会随机抽取同学上台演讲。这次演讲将计入平时成绩，她提前做了准备，还设计了一份PPT，但她依然为此担心，“如果我讲得不好呢？,0
Od1i6hwtP,Emily 给我买了件黑短袖，说后面这小孩特别像我[裂开]这像吗？？？,0
Od2jMlDBV,清华大学还是我们的清华吗？ 社会热点 清华校庆&nbsp;  &nbsp;  &nbsp;  #热门话题创作激励计划# http://t.cn/A6HZWrTZ,0
O9pUFgIQl,#英国皇室#英国王室时尚珠宝 黄金饰品才是时尚的终极目标！ 你看，连王妃们都开始佩戴起金色的手镯来了。  谁说黄金饰品显得俗气？  我以前以为只有中国女性才会戴着金饰才能外出，但现在看来，没有一件金色饰品，全球的女性都无法自信地走出家门。 ​​。,0
K1CeK7gpl8q4m,河南村镇银行400亿存款暴雷只是个前菜。南京银行的窟窿据说2000亿都是保守的。银行系统性风险的多米诺骨牌开始了？#郑州通报村镇银行储户被赋红码##河南多家村镇银行400亿存款暴雷##河南村镇银行取款难储户发声#,1
Oc5JK9KxC,【#男子当豪宅管家月薪5万#：“老板花上亿并购公司，但水电费多了会破防”】据ELLEMEN睿士：每天6点30起床，简单洗漱收拾之后，为雇主家里的多位成员分别制作早餐。上午9点30，家庭成员们吃完早餐后，安排司机将孩子送到学校、将雇主送到公司，如果有需要再载老人去医院进行定期身体检查。  接着安排家,0
Oda6Onfrw,清华大学校庆活动～乐器演奏 http://t.cn/A6HwTzdR,0
Oc68IfMLS,清华大学校庆，青春的感觉真好！ http://t.cn/A6TD0Rx4,0
K1CeK7g1h7awj,英国人在酒吧庆祝刻赤大桥被炸。  #俄称乌军炮击俄本土4村镇##新奇生活研究所##新奇影像放送# http://t.cn/A6oqAzJR,1
OcJVAcCPP,真聪明啊！回头那一刻在想，终于搞掉了   网友：他回头说了句：NM http://t.cn/A6HhkZpd,0
OaMidaI6W,【#男孩意外磕掉5颗牙老师赶紧泡牛奶里#】#孩子磕掉牙第一时间这样处理# “最担心的事还是发生了，学生磕掉了牙，而且是……五颗牙。”最近，杭州市临平区崇贤第二小学的王钱洪老师跟大家分享了班上发生的这起突发事件。  “那天中午，吃完午饭，我坐在讲台上批作业，突然一个同学急急忙忙跑进教室大喊,0
K1CeK8w9i76wl,8月10日，辽宁。男子列车上要女生微信被拒，跟坐在女儿旁边的爸爸动起手。  据拍摄者称：“一小伙子在火车上问女孩要微信，当时女孩的父亲坐在旁边，女孩没有给，小伙子不知道坐在女孩旁边的是她爸爸，直接把女孩爸爸拉起来，让他去别处坐，因此发生争执，双方大打出手，幸亏乘务员与列车长及时赶到现,1
ObwPzFgeX,只看上一双，#偶尔发鞋#,0
O7zeb7NB2,不是为生而活  而是享受生活[awsl],0
Oc49Q8MGI,【日本一棵白菜最高卖到100元人民币，#日本物价为何突然暴涨# 】#中国游客涌入日本疯狂薅羊毛# 近来，日元贬值和日本再现涨价潮引发社会舆论广泛关注。4月28日，蓝鲸财经在一篇报道中提到，一位在日本生活多年的华人表示，最近明显感觉到日本物价上涨，尤其是像水果、蔬菜和大米这类商品，一棵白菜换算,0
K1CeK7gBf6q4i,美国一列运载有毒化学物质的火车脱轨，引发了美国对俄亥俄州东巴勒斯坦居民长期健康风险的担忧。视频显示当地居民拍摄的有毒化学物质燃烧的烟云。 http://t.cn/A6CZqgHj,1
ObBN79VAL,#全美高校挺巴浪潮蔓延至欧洲#【全美高校轰轰烈烈的“挺巴”浪潮，已蔓延到欧洲】（观察者网讯）全美高校轰轰烈烈的“挺巴”浪潮已蔓延到欧洲。“我们真的希望在美国发生的事也能席卷法国。”一名22岁的法国学生说。#全美20多所高校爆发反战示威#  据法新社4月25日报道，法国巴黎政治学院24日晚间爆发,0
OcxuFk947,#大马一男校长涉性侵3男生获保释#【大马版素媛案？[吃惊]男校长被控性侵三男生 交了两万多当庭获保释】据时间视频：当地时间4月30日，马来西亚吉兰丹马樟一30岁校长被控性侵3名学生，但在庭上拒不认罪。根据控状，被告涉嫌性侵3名12至15岁男学生。控方担心他骚扰证人不让其保释。辩方以当事人需要养家,0
Od8TGwHSY,5月6日发布：男孩违章逃跑被追四处逃窜，最后翻围挡离开，网友：万一摔死了谁负责？ http://t.cn/A6HwxjrI,0
O9IIZnsbo,开启线上工作模式～今天拍的很顺利，这很难不心动！(o^^o),0
K1CeJ7w9d7asg,📣📣震惊世界 坐标上海，又一起警察当街残杀走失萨摩犬，手段残忍到令人发指[发怒][发怒][发怒] 出事地点：上海浦东上浦路165弄。 时间：2020年12月11日上午。在小区内走失的萨摩耶二次遭到暴力毒打。第一次牙齿给打掉，第二次直接打死（有照片作证）  ☎️投诉电话：️02112345 ☎️浦东分局督察,1
OcFKJk3al,早！[心]  假期在路上见过 SU7 吗？,0
O9ZEMDWIJ,有空一起去爬山吗？ 深圳梧桐山（想去）,0
K1CaR7QFj66Ym,听说网易云卸载重装后就能获得网易云会员，快来试试吧[doge],1
ObeK7dLZ2,珠宝带来的快乐 ✨,0
OcGiiakdT,【#学校开直播师生见证喜鹊破壳#】近日，“云端观鸟”一个月后，江苏海安一学校的师生们惊喜地发现，一只破壳而出的喜鹊幼雏出现在直播屏幕里。此前，一对喜鹊“夫妻”悄悄来到教学楼外墙上搭窝筑巢准备孵化后代。从衔枝筑巢到孵化幼雏，学校认为这是很难得的生动的“大自然教材”，决定开启慢直播。,0
K1CeK8w9e8ash,#老人国道边停车搭帐篷致堵车# 7月26日，广西，一老太太路中间停车搭帐篷，拒不让路，引起大塞车还和其他游客互殴！据悉该老人系网红，看似祥和慈祥的老太太，有让人不堪忍受的另一面！ http://t.cn/A60XXhxV,1
OcRSKwByg,电音节  摇的可太开心了哥，分不清大小杨哥的举手，反正我分不清。 http://t.cn/A6H7kZdE,0
K1CeK8w5d8qke,求辟谣！两亩水稻收益3000元，专家助农带人插秧竟然花费49万元。  刚刚看到这些信息的时候我以为是谣言！不出意料的话很快就有有关部门出来辟谣，现实往往能刷新我们的认知，他们不计成本的做秀是在侮辱老百姓的智商吗？ 吃饱了撑的慌，可以去公园转转，起码不浪费资源；可以到广场跳跳广场舞打打太极,1
ObH6AxVfy,今天回学校啦虽然没进去到[苦涩],0
OaJmc99xp,巴黎世家新出的男款马毛内裤[二哈] 难道灵感来自于于谦老师的貂皮内裤？,0
Od9zTFVig,这算不算崇洋媚外？网传黑人留学生手机丢失，警察不但帮忙找回，还充了30块话费！这应该不算崇洋媚外，而是人间大爱，体贴细致关怀入微的大爱！,0
Ocn7hkXvx,【#五一假期第二天怎么过#】五一假期进入第二天了，一起聊聊这一天你怎么过？[开学季]#大唐不夜城已被六国游客攻陷#http://t.cn/A6TsaDzP,0
K1CaQ7QNd8akl,埃航失事客机黑匣子已找到，这是自动记录仪录下的最后10秒钟……人们濒死的惨叫声  确认中？  设计缺陷，硬件问题！软件弥补？补好了，谁敢坐？？？ 波音公司要赔偿一切损失，飞机召回，还有赔命了！其他免谈  比如汽车设计时，偶尔会跑偏的，需要纠正，现在靠软件自动纠正，用软件纠正安全吗？人工纠,1
O8Km9oqdK,不被定义的“ 她🙅🏻‍♀️  她  是母亲  妻子  女儿 更是自己    春天就是要出来看展呀 女生看展应该怎么穿，可以试试黑白色 黑与白都是最简单，最百搭的颜色 就算是简单的款式也会很出片 不用刻意摆姿势，沉浸式看展就好 这样拍出来自然又不刻意 #带着微博看展览##春季色彩搭配灵感#,0
K1CeK8wBf8qgf,根据楚天网的报道，这名25岁的男子在武汉帕菲克健身俱乐部中南店卧举杠铃时，杠铃压到男子喉咙，不幸死亡。  据目击者称，昨日下午3时20分，该俱乐部共有10多名会员在健身，整个场馆没有开灯，十分昏暗。突然，俱乐部器械区一名身着白T恤、黑短裤、皮肤黝黑的男子，瘫软在举杠铃的卧椅上，颈部压着100,1
O7zEW0jil,来享受了 指甲刀流血了 秋葵好吃 我是鸟,0
K1CeK8wFd6agf,中山陵一男子突然跳入墓室，抱着卧像大哭…。 http://t.cn/A6Wq33YK,1
ObQPQbQO7,🍘🍘🍘  终于等到你 红糖的糖糕（糖陀螺）,0
K1CeK8w5d8a8g,住宿费300一天， 生活费200一天， 吃住全管还都是高消费，而且工资还照领， 就不知道还发那150是干什么用的？难道是国家的钱已经多到花不完了吗？！ 再说两亩水稻， 不算后期追肥打药管水等管护以及收割晾晒等相关费用，其产值最多能达多少？纯收入又能达到多少？高产田两千也顶天了吧！  额外花费49万,1
K1CeK8w5i7K4m,中国老人在日本倒了。日本人扶了。送医院了，检查俩小时啥毛病没有。家属和老人就是不依，经协商，扶老人的日本人付了10万日元(5300人民币)。然后名古屋观光点所有店铺都张贴这个告知书，提醒人们以后遇到类似事件必须马上报警！[哈哈][哈哈][哈哈][允悲][允悲][允悲],1
OaJdtmVeY,#当马面裙舞动英国街头# 是什么让英国人尖叫不断[憧憬]来自中国马面的震撼[威武]#高质量发展中国行# http://t.cn/A6T8Y9C2,0
Od3FxmuEU,陕西延安一帅哥娶到了真人版“龙妈”，是谁羡慕了我不说！  五一假期5月4日陕西延安某家酒店中，正举办一场比较稀罕的结婚仪式，新娘是位英国人，当她亮相的那一刻，实在太过亮眼了，雪白的肤色，米黄的头发，巴掌大的小脸上五官立体，简直就和在逃公主一般。  宣誓环节，新娘将自己早已准备好的稿子拿,0
O9FxXxNSz,一个提升衣品的小窍门,0
OcTk04Iqe,喜欢就去追  难道等到 80岁再去爱么？,0
ObHJHj9K4,【#美高校挺巴浪潮热辣滚烫# #美式双标再现#】短短一周时间，近550人被捕，涉及40所大学。从哥大、哈佛、耶鲁，再到纽约大学、麻省理工学院、埃默里大学，这场席卷全美高校的“挺巴”抗议示威活动愈演愈烈，甚至蔓延到欧洲、南美。在美国，执法人员还逮捕了现场拍摄的记者，国会众议长扬言要出动国民警,0
OcLRExsar,【周知！#不慎被蜱虫叮咬该怎么办#】#春夏出游谨防这种小黑点#蜱虫每年4至9月最为活跃，通常在草丛、森林等植被茂密的地方出现。蜱虫可携带多种病毒、细菌、立克次体等病原体，叮咬人体后可导致多种感染性疾病。被蜱虫叮咬后，部分疾病的潜伏期可长达一个月。如果蜱虫叮咬很牢固，不要通过拍打、生拉硬,0
ObW2jAEp9,#提出涨薪1000涨了500# 提出涨薪1000涨了500走还是不走 #我的春日狂欢日记#,0
OcGnEg2QW,【#胖猫涉事大桥附近多家鲜花店已爆单#】#多家品牌就胖猫事件道歉#近日，21岁男子“胖猫”在重庆坠江身亡事件持续引发关注。其间，大量网友通过外卖平台购买奶茶、汉堡等物品送往涉事大桥。大桥附近的多家鲜花店里，工作人员都表示已经“爆单”。5月3日晚，“胖猫”刘某的姐姐称，弟弟已经在重庆火化。,0
K1CeK8wNc7Kcf,#警方通报大一女生校内坠楼身亡#大晚上被舍友反锁在阳台外面，那该有多冷啊   听说又是排挤 真是这样的话她同宿舍的晚上还睡得着吗？ 如果是假的的话    那么尽快给出真相  她才多大啊     大好年华就没了。 家里人该多难过啊  http://t.cn/A6jwRBSa,1
ObyLn7ukK,低腰裙到底应该怎么穿才对？（拉高又大了，拉低又太低了） （忽略鞋子 顺手随便穿的,0
OcrRtDURf,成龙在学校参加活动，主持人：成龙签名书只有2个名额，成龙：为什么只有2个？我签了20本 http://t.cn/A6HvVYPX,0
ObBOm45aS,【#挺巴抗议浪潮蔓延到法国高校#，示威学生要求校方明确谴责以色列暴行】据法新社4月25日报道，法国巴黎政治学院24日晚间爆发了数十名抗议学生参与的亲巴勒斯坦示威活动，警方派出50余名警力暴力清场，还有超百名警察待命增援。此后两天，上百名学生再次聚集在一起举行抗议，他们在学校大楼插上巴勒斯,0
K1CeK8wBd8qkf,还有法律吗？还有王法吗？,1
OdawgcmfS,冯提莫南宁路透，身材好诡异啊，配上她的身高就奇葩了[允悲] http://t.cn/A6Hw8NSD,0
K1CaR7wNe8qog,[隨性心靈窗]:藝璇 ※天生萬物滋養成 ※地藏萬物翻不停 ※莫說剪接照片行 ※玄機暗藏誰悟清 ※天地總是藏不盡 ※得道君子此打住 藝璇題2019/6/28  早安孝賢師友們! 資訊傳在宜賓地 震泥石流山洪暴 發中˙一條長達有 120米的巨龍˙ 腰粗直徑有1.5米 日期未標明˙下午 兩點從水裡面翻 腾上岸˙引來數 千,1
OcwqzihaP,因为「21岁重庆男子跳江」事件男主胖猫的头像，上面写着“我不想吃菜，想吃麦当劳”。  昨晚，重庆长江大桥，全都是胖猫舍不得吃的麦当劳汉堡。   #胖猫##胖猫谭竹##谭竹回应#,0
